round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] C 14 -28.5999774933 18220 user
33 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 4 -27764.6999359 1064 user
33 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 4 -27887.3000145 1360 user
33 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 9 -26740.9999371 2791 user
33 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 4 -19562.3998642 9878 user
33 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 4 -8271.900177 20386 user
33 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 9 -26773.9999294 1668 user
33 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 4 -25719.399929 3297 user
33 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 9 -10324.3000507 18613 user
33 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 4 -20599.9000072 8649 user
33 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 0 -22726.0000706 5882 user
33 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 19 -34.8999500275 28691 user
33 usuario1 C ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 0 -16737.9000187 11838 user
33 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] C 14 -18557.6999187 10823 user
34 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 9 -15447.0000267 13456 user
34 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 14 -25151.2999535 4191 user
34 usuario15 C ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 0 -35.3999137878 28963 user
34 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] C 14 -24696.8998909 4581 user
34 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] C 14 -26768.4998512 1988 user
34 usuario12 C ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 0 -26740.3998375 1715 user
34 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] C 19 -13391.4999962 15268 user
34 usuario5 C ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 0 -21614.700079 6822 user
34 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 9 -26837.9001617 1878 user
34 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 9 -24687.7999306 4813 user
34 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 4 -18533.2999229 10906 user
34 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 9 -24814.800024 2844 user
34 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 0 -26756.2000751 2506 user
34 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 9 -16081.799984 13016 user
34 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 9 -27201.9999027 1809 user
34 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 9 -25735.3000641 3635 user
35 usuario13 C ['usuario4', 'usuario2', 'usuario16', 'usuario6'] C 15 -19606.3001156 11590 user
35 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] C 14 -27152.0001888 3642 user
35 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 9 -37.0001792908 31629 user
35 usuario6 C ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 5 -19569.3998337 11186 user
35 usuario16 C ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 10 -28806.4000607 3083 user
35 usuario12 C ['usuario2', 'usuario14', 'usuario3', 'usuario16'] C 5 -23673.500061 7226 user
35 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] C 9 -19587.3999596 11496 user
35 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 14 -23666.8000221 8214 user
35 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 14 -28814.6998882 2408 user
35 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 9 -27782.3998928 2328 user
35 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 4 -19569.9000359 11007 user
35 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 4 -14459.5000744 16115 user
35 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 5 -28942.9998398 2233 user
35 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 9 -20571.7999935 10781 user
35 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 4 -29358.399868 1763 user
35 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 14 -20602.9000282 10219 user
36 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] C 24 -18534.89995 8666 user
36 usuario2 C ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 10 -19858.5999012 7273 user
36 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] C 19 -35.7000827789 27129 user
36 usuario6 C ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 0 -21650.4001617 5680 user
36 usuario16 C ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 5 -24739.5000458 1528 user
36 usuario12 C ['usuario2', 'usuario14', 'usuario3', 'usuario16'] C 15 -23672.6999283 3876 user
36 usuario14 C ['usuario15', 'usuario5', 'usuario7', 'usuario12'] C 5 -14426.8000126 12758 user
36 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] C 19 -20599.4000435 6523 user
36 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 14 -24681.2999249 2596 user
36 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 14 -19562.9999638 7392 user
36 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 9 -8269.59991455 19356 user
36 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 4 -18545.5000401 9233 user
36 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 5 -23672.4998951 2628 user
36 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 10 -2104.50005531 25228 user
36 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 9 -24120.4001904 2301 user
36 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 14 -23668.0002213 2639 user
37 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 19 -16476.099968 6725 user
37 usuario2 C ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 5 -20874.5000362 2046 user
37 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] C 9 -32.4001312256 22162 user
37 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 4 -20585.7999325 2622 user
37 usuario16 C ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 0 -9265.50006866 14111 user
37 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] C 14 -20581.400156 2498 user
37 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 9 -13403.8000107 9044 user
37 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 9 -17521.6999054 5064 user
37 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 14 -20590.8999443 1980 user
37 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 14 -21620.5999851 2221 user
37 usuario7 C ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 0 -12384.0000629 9761 user
37 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] C 9 -13450.7000446 9511 user
37 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 5 -20593.1999683 2647 user
37 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 10 -2103.70016098 20261 user
37 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 14 -21996.999979 1235 user
37 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 9 -21612.6999855 1940 user
38 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 9 -8259.70005989 7524 user
38 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 9 -12578.9000988 3010 user
38 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 4 -8136.30008698 8237 user
38 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 4 -14433.0000877 1466 user
38 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 9 -13404.7000408 2030 user
38 usuario12 C ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 0 -13406.899929 2359 user
38 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] C 9 -8276.60012245 8007 user
38 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 4 -13436.8000031 2677 user
38 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 9 -12458.8999748 2484 user
38 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 9 -12405.3001404 3486 user
38 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 4 -36.3001823425 15997 user
38 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 4 -13420.5000401 2663 user
38 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 0 -13405.8001041 2339 user
38 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 9 -1080.39999008 14819 user
38 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 4 -12586.8000984 3164 user
38 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 9 -12384.0000629 3499 user
39 usuario13 C ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 0 -16493.4000969 6497 user
39 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] C 19 -20920.899868 2309 user
39 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 4 -14470.3001976 8791 user
39 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 14 -21596.9998837 1557 user
39 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] C 19 -21823.0998516 1665 user
39 usuario12 C ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 0 -20597.099781 2189 user
39 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] C 14 -16496.5999126 6810 user
39 usuario5 C ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 0 -20596.6999531 2527 user
39 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 4 -20593.6000347 2659 user
39 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 14 -20671.1001396 1992 user
39 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 4 -19573.3001232 4053 user
39 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 9 -19578.6001682 2664 user
39 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 14 -19556.7002296 3605 user
39 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 0 -33.2999229431 23283 user
39 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 9 -21926.5999794 1605 user
39 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 4 -20668.4999466 2631 user
40 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] C 9 -18646.4998722 4059 user
40 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 4 -17791.1999226 5272 user
40 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 14 -14456.3000202 8033 user
40 usuario6 C ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 5 -19577.4998665 3143 user
40 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 4 -17524.29986 5591 user
40 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 9 -18537.9998684 4344 user
40 usuario14 C ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 0 -14419.5001125 7647 user
40 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] C 19 -20598.400116 2174 user
40 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] C 9 -19561.3999367 3474 user
40 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 4 -17728.8999557 5779 user
40 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 14 -10311.3000393 12414 user
40 usuario10 C ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 5 -20632.7002048 3129 user
40 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] C 9 -21598.7000465 1234 user
40 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 4 -4154.20007706 18405 user
40 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 9 -20901.0999203 1656 user
40 usuario8 C ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 10 -37.2998714447 22255 user
41 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 4 -23752.0999908 4811 user
41 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 14 -25033.6999893 2844 user
41 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 4 -21599.0998745 6313 user
41 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 9 -25992.399931 1953 user
41 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 9 -12365.5998707 15430 user
41 usuario12 C ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 0 -26736.7999554 1734 user
41 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] C 14 -23668.200016 3665 user
41 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 9 -25715.0998116 2663 user
41 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] C 9 -24685.6000423 3022 user
41 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 19 -17562.7999306 9750 user
41 usuario7 C ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 5 -16476.0000706 12051 user
41 usuario10 C ['usuario5', 'usuario11', 'usuario8', 'usuario7'] C 10 -16494.1999912 10829 user
41 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] C 14 -26772.7000713 1104 user
41 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 0 -28.9001464844 28162 user
41 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 19 -26282.9999924 2284 user
41 usuario8 C ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 5 -25803.4999371 2705 user
42 usuario13 C ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 15 -17509.7000599 4496 user
42 usuario2 C ['usuario9', 'usuario15', 'usuario12', 'usuario13'] C 15 -16674.0999222 4796 user
42 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] C 9 -33.2000255585 21972 user
42 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 9 -20715.9998417 1752 user
42 usuario16 C ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 10 -19563.6000633 2531 user
42 usuario12 C ['usuario2', 'usuario14', 'usuario3', 'usuario16'] C 10 -17521.0001469 3623 user
42 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] C 14 -12376.1999607 9378 user
42 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 14 -17528.8000107 3895 user
42 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] C 19 -18635.0998878 3861 user
42 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 19 -19560.8000755 2295 user
42 usuario7 C ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 5 -14445.100069 6783 user
42 usuario10 C ['usuario5', 'usuario11', 'usuario8', 'usuario7'] C 5 -16485.8999252 5217 user
42 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 10 -20587.3000622 2147 user
42 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 10 -7241.40000343 14542 user
42 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 14 -9452.5001049 11647 user
42 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 14 -10314.0001297 10973 user
43 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 19 -18523.900032 9201 user
43 usuario2 C ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 5 -26297.7001667 1497 user
43 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] C 9 -31.5001010895 28463 user
43 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 4 -26731.1999798 1188 user
43 usuario16 C ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 0 -25699.8999119 2024 user
43 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] C 14 -25719.6998596 2294 user
43 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 4 -24698.10009 4178 user
43 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 9 -24684.7999096 3411 user
43 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 14 -24697.6001263 3339 user
43 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 9 -25714.9000168 3090 user
43 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 4 -12381.8998337 15941 user
43 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 4 -25745.3999519 3280 user
43 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 5 -24682.2998524 2383 user
43 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 10 -21614.0999794 7313 user
43 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 9 -26233.5000038 2117 user
43 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 9 -25713.0999565 3190 user
44 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] C 24 -10319.2999363 6097 user
44 usuario2 C ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 5 -14747.399807 1880 user
44 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] C 14 -31.200170517 15288 user
44 usuario6 C ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 0 -9282.29999542 6197 user
44 usuario16 C ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 0 -13500.9999275 2376 user
44 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] C 14 -14432.3999882 2059 user
44 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 4 -7248.39997292 8669 user
44 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 14 -12374.9001026 3705 user
44 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 14 -12395.3001499 3503 user
44 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 9 -13396.8000412 1842 user
44 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 4 -10325.7000446 5554 user
44 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 4 -13475.8999348 2270 user
44 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 5 -11344.399929 3997 user
44 usuario9 C ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 10 -10337.5999928 4745 user
44 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] C 9 -13611.5999222 2159 user
44 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 14 -13400.8002281 1952 user
45 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 14 -19552.7999401 7487 user
45 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 9 -23283.3998203 2987 user
45 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 9 -32.5999259949 27212 user
45 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 4 -24674.4999886 2782 user
45 usuario16 C ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 5 -12380.5000782 15443 user
45 usuario12 C ['usuario2', 'usuario14', 'usuario3', 'usuario16'] C 10 -25720.8001614 1661 user
45 usuario14 C ['usuario15', 'usuario5', 'usuario7', 'usuario12'] C 5 -12370.3000546 14026 user
45 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] C 14 -21606.1000824 4932 user
45 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 14 -24832.0999146 1845 user
45 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 9 -25725.5001068 2100 user
45 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 9 -22790.199995 3905 user
45 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 4 -22653.1000137 4441 user
45 usuario4 C ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 0 -24863.3000851 2354 user
45 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] C 9 -1072.0000267 26426 user
45 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 4 -25322.9000568 1928 user
45 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 9 -24705.1999569 2503 user
46 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 4 -22760.3998184 4813 user
46 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 9 -25198.800087 3079 user
46 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 9 -8266.49999619 20253 user
46 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 4 -26759.4001293 1225 user
46 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 9 -24679.7001362 2643 user
46 usuario12 C ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 10 -23720.0000286 3498 user
46 usuario14 C ['usuario15', 'usuario5', 'usuario7', 'usuario12'] C 5 -22629.2998791 5221 user
46 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] C 9 -24711.8000984 4008 user
46 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 9 -24686.5999699 3082 user
46 usuario3 C ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 5 -24686.3999367 3126 user
46 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] C 14 -14431.6999912 14329 user
46 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 4 -23697.3001957 4260 user
46 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 4 -24681.6999912 3013 user
46 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 9 -16471.8999863 11363 user
46 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 4 -26352.9000282 1937 user
46 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 4 -29.599905014 27795 user
47 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 9 -19609.6000671 4685 user
47 usuario2 C ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 5 -20956.2001228 2761 user
47 usuario15 C ['usuario1', 'usuario6', 'usuario14', 'usuario2'] C 10 -17514.2998695 6472 user
47 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] C 9 -22720.9999561 1147 user
47 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 4 -22640.3999329 1516 user
47 usuario12 D ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 14 -22639.1999722 2284 user
47 usuario14 C ['usuario15', 'usuario5', 'usuario7', 'usuario12'] D 5 -15442.9998398 8776 user
47 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] C 9 -20579.4000626 3211 user
47 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] D 4 -22767.6999569 1637 user
47 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 4 -21624.3999004 2522 user
47 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 9 -8266.60013199 15765 user
47 usuario10 D ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 4 -20610.699892 2535 user
47 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 4 -21608.0999374 3097 user
47 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 9 -31.800031662 24175 user
47 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 9 -22073.6000538 1833 user
47 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 4 -10320.6000328 13874 user
48 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 4 -18523.6999989 3804 user
48 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 9 -17811.0001087 5641 user
48 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 4 -34.7001552582 22110 user
48 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 4 -19563.4999275 3282 user
48 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 9 -16484.6000671 6858 user
48 usuario12 C ['usuario2', 'usuario14', 'usuario3', 'usuario16'] D 0 -20586.1001015 2066 user
48 usuario14 D ['usuario15', 'usuario5', 'usuario7', 'usuario12'] C 9 -20716.7000771 2790 user
48 usuario5 D ['usuario6', 'usuario16', 'usuario10', 'usuario14'] D 9 -19558.8002205 3299 user
48 usuario11 D ['usuario16', 'usuario3', 'usuario4', 'usuario10'] C 9 -18672.8000641 4880 user
48 usuario3 D ['usuario12', 'usuario7', 'usuario9', 'usuario11'] D 9 -18656.7997932 3693 user
48 usuario7 D ['usuario14', 'usuario10', 'usuario1', 'usuario3'] D 9 -7235.09979248 15825 user
48 usuario10 C ['usuario5', 'usuario11', 'usuario8', 'usuario7'] D 0 -19693.9001083 3602 user
48 usuario4 D ['usuario11', 'usuario9', 'usuario13', 'usuario8'] D 4 -20685.199976 1550 user
48 usuario9 D ['usuario3', 'usuario1', 'usuario2', 'usuario4'] D 4 -16475.9001732 5955 user
48 usuario1 D ['usuario7', 'usuario8', 'usuario15', 'usuario9'] D 4 -20007.1001053 2385 user
48 usuario8 D ['usuario10', 'usuario4', 'usuario6', 'usuario1'] D 9 -20687.800169 2107 user
49 usuario13 D ['usuario4', 'usuario2', 'usuario16', 'usuario6'] D 4 -17517.8000927 6670 user
49 usuario2 D ['usuario9', 'usuario15', 'usuario12', 'usuario13'] D 14 -20935.2998734 3206 user
49 usuario15 D ['usuario1', 'usuario6', 'usuario14', 'usuario2'] D 4 -28.6998748779 23983 user
49 usuario6 D ['usuario8', 'usuario13', 'usuario5', 'usuario15'] D 4 -20581.8998814 3135 user
49 usuario16 D ['usuario13', 'usuario12', 'usuario11', 'usuario5'] D 9 -21630.5000782 2597 user
